PHOX2B	SOX10	PRRX1	GATA3	SNAI2	HAND2
5.589451	2.224523	4.113996	4.648351	4.672329	6.009445
9.666779	-12.037151	-3.281220	7.344311	-12.602725	7.457582
2.894435	-2.007576	-3.056169	-3.530121	-6.539147	-5.216747
-6.572494	8.351153	8.426590	-15.808154	5.625526	-8.411045
-2.721688	3.839248	2.833637	-10.053951	-6.402469	-7.692497
-5.985817	7.109819	5.994921	-12.030145	7.658025	-14.338385
2.741689	-11.762124	-6.764266	6.497396	-9.399749	-1.543160
-4.052239	-8.100459	-6.762028	-9.948221	-9.399748	-14.247053
8.689564	-14.351275	-6.764279	6.593510	-9.399749	4.805970
-9.228753	-6.551522	-5.284987	-11.707584	-13.222298	-7.178249
8.991875	-12.535800	-5.290127	6.437347	-13.222298	6.732486
-8.461982	6.214007	7.242856	-17.919704	5.403830	-7.178249
3.144946	1.968250	7.002761	-6.166045	5.398452	3.841709
9.335395	-12.447444	-4.749219	7.677097	-6.976987	7.323513
8.882333	3.781603	7.287346	2.567504	8.785802	7.323278
-7.243125	5.162876	7.290427	-14.128342	8.785805	-5.541685
-6.710524	-11.066180	-4.749219	-9.017894	-6.976987	-5.541650
-4.497820	3.767886	7.224189	-16.907378	8.985932	-9.316950
10.820023	-12.628880	1.407654	4.821843	3.009341	5.652866
-6.262294	-14.609601	-4.935758	-11.390201	-2.275842	-9.316950
11.311462	-21.183558	-4.935758	5.353862	-2.275842	5.652866
-6.712108	-11.639622	-6.065406	-7.234125	-13.107298	-11.572279
8.825405	-18.077122	-6.074808	5.757965	-13.107298	0.466336
11.111527	-18.077165	-6.074808	6.374667	-13.107298	6.255490
-7.349626	5.325259	5.033899	-8.570294	6.530528	-11.572279
3.594108	-7.727661	-3.082778	1.072171	-10.385402	-0.368111
-6.470471	-5.374106	-2.846845	-8.474662	-9.988584	-11.281836
-7.132150	7.186252	7.574213	-14.849812	8.366230	-11.281839
10.202192	-8.938656	-3.119067	6.093490	-10.400320	5.616369
-8.038705	-10.758493	-3.986352	-9.291482	-10.071755	-12.741845
5.313521	-15.485028	-3.986352	6.940016	-10.071787	5.983323
-7.519448	5.672683	6.149735	-15.811250	4.562200	-12.743457
4.346125	2.227502	6.136166	0.404467	4.473195	5.881163
-13.235526	-6.598282	-1.560298	-7.912956	0.566756	-11.725973
-8.790007	6.424244	4.941332	-12.496206	7.730238	-11.725980
